Altitude (m),Pressure (Pa),Temperature (K)
2.275000e+04,3.016214e+03,2.194000e+02
2.280000e+04,2.995575e+03,2.194500e+02
2.285000e+04,2.975087e+03,2.195000e+02
2.290000e+04,2.954749e+03,2.195500e+02
2.295000e+04,2.934560e+03,2.196000e+02
2.300000e+04,2.914518e+03,2.196500e+02
2.305000e+04,2.894623e+03,2.197000e+02
2.310000e+04,2.874874e+03,2.197500e+02
2.315000e+04,2.855269e+03,2.198000e+02
2.320000e+04,2.835807e+03,2.198500e+02
2.325000e+04,2.816488e+03,2.199000e+02
2.330000e+04,2.797309e+03,2.199500e+02
2.335000e+04,2.778270e+03,2.200000e+02
2.340000e+04,2.759370e+03,2.200500e+02
2.345000e+04,2.740608e+03,2.201000e+02
2.350000e+04,2.721982e+03,2.201500e+02
2.355000e+04,2.703492e+03,2.202000e+02
2.360000e+04,2.685136e+03,2.202500e+02
